"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051052","regulation of DNA metabolic process","307/7991","481/18842",0.638253638253638,1.50493993892818,9.62679568080684,8.58289665033974e-22,5.0373020440844e-18,5.0373020440844e-18,"HMGA2/SMG6/OBI1/CDT1/YLPM1/BLM/GLI1/CDK2/DPF2/SMC6/WIZ/ATXN7/MORF4L1/INO80/SKP2/NAF1/PRKCD/H1-4/CDKN1A/NABP2/SMARCD3/DBF4/ABL1/HNRNPA2B1/DYRK1A/PPP4C/TAF2/ORC3/XRN1/CCT2/VEGFA/DUSP1/CUL4B/RPS3/TAF10/NSMCE2/EP400/GNL3/PRMT1/MARCHF6-DT/BKGD/H1-1/RAD52/EPC2/USP7/SMARCD2/ENPP7/OGG1/PHF10/CDC25A/PMS2/UCHL5/S100A11/WAS/WAPL/ELOB/TFRC/PRDM9/TEX15/TGFB1/ATRX/LRR1/RPA2/IL6/INO80C/USP22/PARP3/SUPT6H/DEK/XRCC5/TADA2B/MGMT/POLH/SMG5/ANKRD1/ING3/CBX8/DHX36/H1-0/KLHL15/MAD2L2/TNFAIP1/KAT2B/NEK7/BAX/PDS5A/SF3B5/HDAC10/HNRNPA1/WRAP53/MEAF6/PARPBP/TAF5L/SH2B1/SMG1/HELQ/SUPT20H/PTK6/RNF126/PNKP/KMT5A/KCTD13/UPF1/CDKN1B/INO80E/HNRNPC/DKC1/AURKB/CDK1/BAZ1A/RNF169/POLB/PIF1/AUNIP/SUPT3H/BRCA1/HNRNPU/ENY2/DFFB/SMCHD1/CSNK2A1/TENT4B/RFC4/MCM6/EP300/TINF2/MCRS1/CCT7/FGF2/KDM1A/ESCO2/HNRNPD/SLF2/OOEP/MSH2/CAMSAP3/HDGFL2/PLK1/TEN1/DYNLL1/GNL3L/FAM168A/DHX9/BCL7A/CCDC117/MCM5/ERCC8/TNKS/TERF2/NPAS2/MAPK3/ACTL6A/EYA1/CLCF1/CTNNB1/TOP2B/TADA1/MAPK1/DMAP1/VPS72/MRGBP/RADX/ATM/KPNA2/SGF29/RUVBL1/NUCKS1/WEE1/ELOC/TCP1/INO80D/FGFR4/ACD/CUL2/PRKDC/DSCC1/ATXN7L3/TIMELESS/RIOX1/MCM4/TRRAP/TDP1/H1-3/ZBTB38/FAF1/ANKRD17/CEBPG/BCL7B/BCL6/CDC6/SMARCC1/ACTR2/HMCES/SPIDR/CHEK1/UBE2N/ARID2/CCNA2/SMC3/POLG2/KPNA1/PRKCG/FUS/SHLD1/TIPIN/CTC1/TERF1/NIBAN2/SPIRE1/MSH6/HELB/TIGAR/PTGES3/NSMCE1/PKIB/WRN/JADE1/CCT8/KAT5/SMARCA4/KMT5B/MRE11/FBXO5/USP37/EYA4/YY1/APLF/MAP2K7/ERCC6/SETD7/PDGFRB/NSMCE4A/JADE3/ZCWPW1/TP53BP1/CUL4A/ERCC2/EPC1/HSF1/KMT5C/SMARCE1/GMNC/NEK2/PIAS4/GMNN/SHLD3/RNF168/YEATS4/FH/STN1/TAF6L/DNA2/DACH1/SUB1/RFC3/HCRT/RAD51AP1/MYC/PPP4R3B/ESCO1/SRC/DFFA/ATR/DDB1/EGFR/LMNA/TAF5/FBXO4/RIF1/RFC5/E2F7/TICRR/DBF4B/UBE2V1/RNF8/SPIRE2/MRNIP/RUVBL2/PCNA/OTUB1/MCM3/KLF4/KAT7/ING5/E2F8/UIMC1/RFC2/SIRT1/TNFSF4/JADE2/HDAC8/PARP1/CREBBP/ORC5/ATAD5/PPP4R3A/EYA3/CHRAC1/HMGB1/ACTL6B/C1QBP/SMARCD1/NOX4/ARID1A/ENDOG/ID3/SETD2",307
"GO:0048193","Golgi vesicle transport","213/7991","319/18842",0.667711598746082,1.57439894175618,8.87914130775198,8.14625467583001e-19,2.39051843462232e-15,2.39051843462232e-15,"YIF1A/KRT18/YKT6/MON2/USO1/TRAPPC6B/GGA2/CREB3L2/AP3S1/EXOC6/KLHL12/AMN/SEC22B/SEC24A/GOPC/WIPI1/RER1/COPB1/TRAPPC3/AP2A1/RAB6A/EPS15/SAR1B/PKDCC/SEC31A/AP1M2/VPS54/COPG1/SEC23B/LLGL1/CCDC22/AP3D1/ARFGEF2/YIPF6/LMAN2/EXOC1/GOLGA5/CCDC93/SEC31B/RP2/TRAPPC12/LLGL2/KDELR3/CNIH4/AP3S2/ALDH7A1/OSBPL5/PLPP3/ATP9B/MIA3/SGSM2/GGA3/SEC22A/PDCD6/ERGIC1/AP1G1/HTT/ARF4/ARCN1/SEC24D/CRYZL2P-SEC16B/VAMP5/MYO18A/TRAPPC10/CYTH3/PPP6C/COG2/SEC16A/EXOC4/AP3M2/GOSR2/NRBP1/TRAPPC8/ERGIC3/AP2M1/SYS1/ERGIC2/TMED4/STXBP5/TBC1D20/TFG/RABEP1/EXOC5/TRIP11/VTI1B/VCP/SPAST/CNST/KLHL20/ARF5/SCAMP2/PITPNB/VPS35L/KDELR2/PGAP1/PRKD1/RAB1A/MIA2/ZW10/TBC1D14/BET1/SNX12/STX18/RAB13/SEC22C/GLTP/SCAMP1/LYPLA1/SEC13/BNIP1/TMED6/GGA1/RAB26/MPPE1/CLN3/CSK/MYO5A/COPG2/STX10/RAB8A/RUFY1/COG5/COMMD1/VAPB/COG3/GAK/AP1G2/SNX8/BBS1/SURF4/SPIRE1/SEC23A/TMED9/SAR1A/ANK3/RABIF/COPZ1/RAB2A/GOLT1B/SNX3/DOP1A/CSNK1D/SEC23IP/COG1/IER3IP1/PRKCI/RAB11A/GABARAPL2/SCFD1/STEEP1/HYOU1/BICD2/GOLT1A/ARL8B/CUL3/RAB31/RAB43/CIDEB/SORL1/RAB10/COPE/RAB1B/LMAN1/GOLPH3L/DOP1B/AP1M1/COG6/SCYL1/DNM2/MYO1B/BCAP31/ACSL3/PHAF1/VPS41/BET1L/ARFRP1/SNX1/VAMP4/USE1/RNF139/SPIRE2/VAPA/TMED10/TRAPPC5/EXOC6B/YIPF4/RABGGTB/SNAP23/ATP9A/TRAPPC2/CUX1/RINT1/RAB34/PREB/TM9SF4/GBF1/GCC2/LAMP1/LYPLAL1/BCAP29/GOLGA7/SCAP/MACF1/ARFGAP2/ARF3/CCDC91/YIF1B/KDELR1/GOLPH3/RAB3IP/NAPG/KIF1C/TRAPPC2L",213
"GO:0051054","positive regulation of DNA metabolic process","177/7991","267/18842",0.662921348314607,1.56310399761529,7.9523866644369,2.07444522522207e-15,4.0583063422761e-12,4.0583063422761e-12,"CDT1/GLI1/CDK2/DPF2/WIZ/MORF4L1/INO80/SKP2/NAF1/PRKCD/CDKN1A/NABP2/SMARCD3/DBF4/HNRNPA2B1/DYRK1A/CCT2/VEGFA/RPS3/EP400/GNL3/PRMT1/MARCHF6-DT/EPC2/SMARCD2/PHF10/CDC25A/PMS2/UCHL5/WAS/TFRC/PRDM9/TGFB1/ATRX/IL6/INO80C/PARP3/MGMT/ING3/CBX8/DHX36/MAD2L2/TNFAIP1/NEK7/BAX/HDAC10/HNRNPA1/WRAP53/MEAF6/HELQ/PTK6/RNF126/PNKP/KCTD13/CDKN1B/DKC1/AURKB/CDK1/BAZ1A/BRCA1/SMCHD1/RFC4/TINF2/MCRS1/CCT7/FGF2/HNRNPD/SLF2/OOEP/MSH2/HDGFL2/FAM168A/DHX9/BCL7A/CCDC117/ERCC8/TNKS/TERF2/NPAS2/MAPK3/ACTL6A/EYA1/CLCF1/CTNNB1/TOP2B/MAPK1/DMAP1/VPS72/MRGBP/ATM/RUVBL1/WEE1/TCP1/INO80D/FGFR4/ACD/PRKDC/DSCC1/TIMELESS/TRRAP/FAF1/CEBPG/BCL7B/SMARCC1/ACTR2/HMCES/SPIDR/UBE2N/ARID2/CCNA2/POLG2/PRKCG/FUS/SHLD1/CTC1/TERF1/SPIRE1/TIGAR/PTGES3/PKIB/WRN/CCT8/KAT5/SMARCA4/KMT5B/MRE11/EYA4/YY1/MAP2K7/ERCC6/PDGFRB/ZCWPW1/TP53BP1/ERCC2/EPC1/KMT5C/SMARCE1/NEK2/PIAS4/SHLD3/RNF168/YEATS4/FH/STN1/DNA2/RFC3/RAD51AP1/MYC/ATR/EGFR/FBXO4/RIF1/RFC5/E2F7/DBF4B/RNF8/SPIRE2/MRNIP/RUVBL2/PCNA/KLF4/KAT7/E2F8/UIMC1/RFC2/SIRT1/TNFSF4/PARP1/CREBBP/ATAD5/EYA3/HMGB1/ACTL6B/SMARCD1/NOX4/ARID1A/ENDOG",177
"GO:0044772","mitotic cell cycle phase transition","261/7991","434/18842",0.601382488479263,1.41800135751799,7.56026315461224,4.42450149127843e-14,6.49184981307828e-11,6.49184981307828e-11,"TM4SF5/BLM/CDK2/CDKN2C/DPF2/GPNMB/CDC25B/LSM10/CLSPN/KLHL18/TAOK2/INO80/SKP2/PTPN6/PPP1R9B/CDKN1A/TAOK1/CDC34/FOXN3/NABP2/SMARCD3/DBF4/SIRT2/TAF2/PSMA2/ABCB1/DUSP1/RPS27L/WAC/CUL4B/DLG1/CCNI/CACUL1/PIM2/PIM1/NSMCE2/ZFP36L1/UBE2S/SMARCD2/RRM1/STK35/CCNB1/PHF10/E2F1/INIP/CDC25A/CCNJ/ORC1/DYNLT1/CUL5/TGFB1/CYP1A1/CRLF3/DONSON/ID2/RPA2/TACC3/CCND1/USP22/HINFP/RCC2/PLK5/TPD52L1/RFWD3/KHDRBS1/POLE/ESPL1/DYNLL2/CACNB4/RPTOR/BUB3/MAD2L2/TFDP1/ZFP36L2/MBLAC1/PSME1/PSMA6/SASS6/CDK3/BIRC5/CDK14/ACVR1B/CDKN3/MELK/CLASP2/MBTPS2/CPAP/PIAS1/PPP6C/TAOK3/EIF4EBP1/CCNJL/STIL/CDC14A/CDKN1B/NAE1/APPL2/RRM2/MNAT1/AURKB/CDK1/ANAPC2/CDC27/E2F3/PDIK1L/HUS1/BRCA1/KIF14/DYNLRB1/HECW2/SPAST/PTEN/CCDC57/PLK2/CENPE/TFAP4/BRD4/PLK1/DYNLL1/RBL2/LATS2/KDM8/BCL7A/UBE2A/AVEN/ACTL6A/ZNF324/PSMB1/ZW10/INHBA/ATM/WEE1/MIIP/TOPBP1/RAD21/ACVR1/CUL2/PRKDC/PABIR1/CCNH/PSMB2/EIF4E/TCF3/DYNC1LI1/ANAPC5/CDK4/CCNB2/MAP3K20/CHMP7/ARPP19/ANKRD17/BCL7B/CDC6/SMARCC1/KLF11/PSMA4/PSMA7/CHEK1/CDKN2B/PSMA1/NOP53/SPC24/ARID2/CCNA2/CPSF3/CCNE2/RCC1/MUC1/CDK5RAP3/EPS8/JADE1/PSMA5/CDKN2A/CCND3/DGKZ/SMARCA4/MRE11/AMBRA1/TRIM71/FBXO5/PPP2R2D/USP37/PSMB6/CCNP/GEN1/BCAT1/PSMB7/RAB11A/PSME3/CDK5RAP2/USH1C/MTBP/ANAPC1/EIF4G1/CUL4A/ERCC2/SMARCE1/RAD51B/CUL3/NEK2/RIOK2/VPS4A/NDC80/CDK6/ANAPC4/PLCB1/PHF8/RRM2B/PSMB4/DYNC1H1/BUB1B/RBL1/MYC/CDC23/ATR/DNM2/SDE2/DDB1/EGFR/CDC14B/VPS4B/ZWINT/PLK3/MAD1L1/FHL1/ENSA/E2F7/TICRR/ANAPC15/CDK2AP2/DBF4B/MIR193A/RDX/NEK6/ADAMTS1/MRNIP/DYNC1I2/PRMT2/CHEK2/CDKN2D/ANLN/TTK/KLF4/UIMC1/RINT1/CUL1/RPS6KB1/FZR1/RAD51C/MARK3/KNL1/ACTL6B/SMARCD1/ZFYVE19/ARID1A/CCNF/APC/CENPF/APPL1/FBXL15/NES",261
"GO:0016236","macroautophagy","224/7991","369/18842",0.607046070460705,1.43135553242655,7.18120788167169,7.35076582080764e-13,7.35315875417788e-10,7.35315875417788e-10,"SUPT5H/ATP6V0D2/RAB3GAP2/ABI2/VPS28/SEC22B/NRBP2/PAFAH1B2/VPS37B/VPS33A/EIF2AK1/WIPI1/CHMP2B/MTOR/RTN3/ATG16L1/PEX2/CHMP1B/RAB2B/SNX14/WAC/DNM1L/HUWE1/SNX30/USP33/ATG9B/RHEB/CHMP6/MTM1/LAMP2/PIP4K2A/BNIP3/EXOC1/ARHGAP26/ATG2B/VPS37C/ERN1/RAB7A/ATP6V0A2/FBXL4/TMEM41B/TBC1D12/UBXN2A/OGT/ATG14/SNX6/TSG101/NSFL1C/GABARAPL1/MFN2/HTT/NIPSNAP2/ATP6V1A/HDAC10/CDC37/CLEC16A/ATG7/PIK3C3/ULK1/TOM1/VPS35/PIK3R4/ATP6V0A1/NEDD4/VPS25/ATP2A2/FZD5/VPS26A/PHB2/SNAP47/EXOC4/SEC62/NBR1/ILRUN/PHF23/UCHL1/CALM1/SMCR8/SPTLC1/TMEM39A/ATP6V0E1/BAG3/PDCD6IP/ATP6V1B2/ZNRF1/RALB/STX4/ULK3/CSNK2A1/GAA/LGALS8/SESN2/ATG3/VTI1B/VCP/VPS18/IFT88/C9orf72/RAB3GAP1/SCOC/FBXO7/ATG4A/RAB1A/RNF31/UBE2A/SH3GLB1/RIMOC1/ATG101/NIPSNAP1/TBC1D14/MFSD8/MVB12A/ATM/YOD1/SPTLC2/HDAC6/ATP5IF1/LYPLA1/HK2/PPTC7/STX12/ATP6V0D1/ELAPOR1/ZFYVE1/ATP6V1H/ATP6V1G1/CLN3/NUPR1/CERS1/CHMP7/ATG5/GAPDH/FUNDC1/UBA5/EPG5/ATG10/ACBD5/ADCY10/SREBF2/CDK5/IKBKG/PIKFYVE/SREBF1/USP36/ZFYVE26/GSK3A/CDK5RAP3/USP30/FEZ2/ATG4D/KAT5/TCIRG1/AMBRA1/ATP6V1B1/RAB2A/CSNK2A2/SMURF1/MAP1LC3B/TBC1D5/VPS37A/RETREG3/EXOC7/GABARAPL2/SCFD1/GABARAP/TBK1/TRIM13/ARL8B/SNF8/UBXN2B/SNX32/HSPB8/VPS4A/PIP4K2C/SNX7/RAB43/WDR45/RUBCNL/IRGQ/ZNRF2/HTRA2/RAB1B/VPS16/ATG4C/GNAI3/CDK5R1/SESN1/SRC/SNX4/TBC1D25/QSOX1/FKBP8/TIMM23/VPS4B/SLC25A4/DELE1/VPS41/STBD1/ATG2A/CALCOCO2/PJVK/CAPN1/CHEK2/MTMR14/ATP6V1C1/EI24/ARFIP2/SIRT1/VPS37D/CUL1/DNAJC16/VPS36/PIK3CA/RETREG1/LIX1L/WIPI2/RAB23/MTMR3/SNX5/UFC1/VAMP8/WDFY3/PARL/UBQLN2",224
"GO:0006260","DNA replication","195/7991","313/18842",0.623003194888179,1.46898087824841,7.17990953179802,7.51728616886476e-13,7.35315875417788e-10,7.35315875417788e-10,"GINS1/NT5M/OBI1/CDT1/BLM/GLI1/CDK2/WIZ/INO80/MGME1/EME1/CDKN1A/GINS4/PTMS/CDC34/DBF4/ORC3/POLE2/ORC6/CUL4B/TOP1/RAD18/WDR18/ORC4/RRM1/DHFR/ENPP7/CHAF1A/CDC25A/UCHL5/RFC1/ORC1/S100A11/WAPL/ELOB/ATRX/LRR1/AIRIM/DONSON/RPA2/INO80C/RFWD3/POLN/POLE/POLH/WDHD1/MAD2L2/TNFAIP1/FAAP20/PDS5A/RNASEH1/MEAF6/TBRG1/PTK6/POLD3/PNKP/ZBTB1/KCTD13/UPF1/CDKN1B/RECQL4/INO80E/KIN/RBMS1/ASCC2/CDK1/BAZ1A/CARM1/POLB/NFIB/MCMBP/MUS81/BRCA1/SHMT1/CDK2AP1/RFC4/MCM9/SET/DTD1/VCP/MCM6/MCRS1/ESCO2/OOEP/MSH2/FEN1/CAMSAP3/DYNLL1/DHX9/TOP1MT/UBE2A/MCM5/TERF2/ACTL6A/RUVBL1/NUCKS1/WEE1/ELOC/TOPBP1/INO80D/LRWD1/CUL2/DSCC1/RNASEH2A/TIMELESS/MCM4/GRWD1/NAP1L1/POLD1/ZBTB38/FAF1/POLD4/ANKRD17/BCL6/PRIM2/CDC6/POLA1/POLD2/NFIC/CHEK1/UBE2N/NOC3L/USP10/CCNA2/SMC3/POLG2/TIPIN/CTC1/TERF1/HELB/WRN/JADE1/NASP/NFIA/MRE11/FBXO5/USP37/GEN1/YY1/GINS3/JADE3/REV1/CUL4A/GMNC/GMNN/STN1/DNA2/DACH1/RFC3/HCRT/RRM2B/ZPR1/RMI1/FAM111A/HLTF/ESCO1/POLA2/ATR/SDE2/POLI/DDB1/EGFR/REV3L/RFC5/E2F7/TICRR/WDR33/DBF4B/MCM10/UBE2V1/AKTIP/NFIX/RUVBL2/PCNA/SPRTN/EXO1/MCM3/KAT7/PRIM1/ING5/E2F8/CINP/RFC2/JADE2/TONSL/CENPX/PARP1/PHIP/ORC5/RAD51C/ATAD5/CHRAC1/ENDOG/FANCM/ID3",195
"GO:0010506","regulation of autophagy","218/7991","358/18842",0.608938547486033,1.43581780900161,7.14440662962081,9.59883920500367e-13,7.91428018510255e-10,7.91428018510255e-10,"SUPT5H/ATP6V0D2/CAMKK2/RAB3GAP2/DEPDC5/TPCN1/SEC22B/NRBP2/UBR4/PAFAH1B2/ROCK1/EIF2AK1/WIPI1/MTOR/ZC3H12A/ABL1/WDR6/ATG16L1/SIRT2/KIF25/DEPTOR/USP20/PIK3CB/WAC/DNM1L/TPT1/CUL4B/KAT8/DRAM1/HUWE1/SNX30/PIM2/USP33/RHEB/HSPB1/MTM1/PIP4K2A/BNIP3/EXOC1/NOD1/KEAP1/PSAP/ERN1/NPRL3/ATP6V0A2/FBXL4/MAP2K1/ABL2/ATG14/USP13/CDK16/SNX6/RPTOR/RAB37/HTT/ATP6V1A/DCAF12/CDC37/CLEC16A/RRAGB/MET/STAT3/ZKSCAN3/PIK3C3/ULK1/TOM1/VPS35/PIK3R4/ATP6V0A1/NEDD4/FZD5/VPS26A/RRAGC/EXOC4/PHF23/UCHL1/SMCR8/SPTLC1/ORMDL3/TMEM39A/ATP6V0E1/GPR137/BAG3/ATP6V1B2/RALB/ULK3/CSNK2A1/SESN2/EP300/PLK2/PIK3R2/CISD1/C9orf72/RAB3GAP1/SCOC/FBXO7/PRKD1/RNF31/UBE2A/SH3GLB1/TAB3/ATG101/TRIM65/MLST8/HAX1/MTMR9/TBC1D14/RRAGD/MTDH/ATM/SPTLC2/GATA4/HDAC6/ATP5IF1/DAPK1/LYPLA1/HK2/PPTC7/SVIP/FOXK1/ATP6V0D1/WNK1/ELAPOR1/ATP6V1H/ATP6V1G1/CLN3/SNRNP70/NUPR1/CERS1/XBP1/ATG5/GAPDH/PARK7/RAB8A/TRIB3/ADCY10/USP10/SREBF2/CDK5/RMC1/BCL2L1/ACER2/IKBKG/SREBF1/USP36/GSK3A/CDK5RAP3/USP30/FEZ2/STK38L/KAT5/AMBRA1/STK11/ATP6V1B1/WDR41/CSNK2A2/FOXO3/CISD2/RNF152/PRKAA1/EXOC7/SCFD1/TBK1/TRIM13/EIF4G1/CUL4A/SNX32/RRAGA/HSPB8/SLC7A5/FOXO1/PIP4K2C/SNX7/WDR45/TRIM23/IRGQ/HTRA2/GPR137B/BOK/GNAI3/CDK5R1/SESN1/TRIM8/TAB2/KDM4A/SNX4/DDB1/DAPK2/TBC1D25/LEPR/QSOX1/FKBP8/SLC25A4/PLK3/DELE1/ATG2A/TICAM1/DEPP1/BMF/VHL/CALCOCO2/EEF1A1/FOXK2/CAPN1/ATP6V1C1/SIRT1/CUL1/FLCN/PIK3CA/TFEB/HMGB1/SNX5/TMEM59/ENDOG/PARL/LAMP3/UBQLN2/SETD2",218
"GO:0016197","endosomal transport","193/7991","310/18842",0.62258064516129,1.46798454713165,7.12966086606601,1.07879096065463e-12,7.91428018510255e-10,7.91428018510255e-10,"DAB2/TBC1D10B/PLEKHJ1/TMEM87B/RAB35/YKT6/MON2/BLTP1/EVI5/EPS15L1/ERC1/VPS28/VPS37B/CHMP2B/ALS2CL/EHBP1L1/DENND10/BLOC1S2/RAB6A/EPS15/CHMP1B/RAB21/PTPN23/SNX30/VPS54/CCDC22/SPAG9/AP3D1/USP7/CHMP6/CMTM6/DNAJC13/CCDC93/COMMD4/VPS50/TBC1D10A/UBE2O/COMMD2/REPS1/VPS37C/RAB7A/ALDH7A1/COMMD5/SGSM2/MAP2K1/RAB8B/GGA3/ALMS1/RAB5C/ATG14/TBC1D23/SNX6/TSG101/SNX9/CORO1C/EHBP1/LAPTM4B/ANKRD50/ZDHHC2/CLEC16A/RAB17/TRAPPC10/PIK3C3/TOM1/VPS35/PIK3R4/POPDC1/CLTC/VPS25/RNF126/VPS26A/ABCA1/PICALM/SGSM3/ITSN2/ARL1/VPS29/MTMR4/INPP5F/COMMD10/VTI1B/VCP/COMMD3/EEA1/AP5S1/MICALL1/VPS26C/RGP1/VPS35L/EHD1/TMCC1/MAPK3/TINAGL1/TBC1D14/MAPK1/BLOC1S6/GRIPAP1/SNX17/MVB12A/SNX12/RAB13/COMMD6/DCTN1/TMEM50A/BTBD8/MAP2K2/RAB11FIP4/WASHC3/DENND2A/MYO1D/STX12/GGA1/UBAP1/DYNC1LI1/DENND1A/CHMP7/ARFIP1/EIPR1/COMMD9/STX10/LAMTOR1/RAB8A/RUFY1/COMMD1/MTMR2/ALS2/PIKFYVE/SNX8/RASSF9/GRIP2/RAB5B/ZFYVE16/MVB12B/ENTR1/SLC66A2/GOLT1B/NF2/SNX3/SNX27/TBC1D5/VPS37A/RAB11A/ZFYVE9/RHOBTB3/GOLT1A/EZR/ARL8B/SNF8/SNX32/VPS4A/SNX7/RABGEF1/WDR91/LEPROTL1/LYST/SORL1/RAB10/VPS16/HEATR5A/DOP1B/ARF6/SRC/SNX4/VPS4B/DENND5A/SNX2/ACAP2/BET1L/ARFRP1/SNX1/VAMP4/RDX/AGAP2/PLEKHA3/AKTIP/DENND1B/DENND1C/LMTK2/ATP9A/VPS37D/VPS36/RAB12/GBF1/GCC2/SNX33/SNX5/AP5B1/NDRG4/RAB29/VPS53/MYO5B/ANKRD27/AP5Z1",193
"GO:0006302","double-strand break repair","198/7991","320/18842",0.61875,1.45895225879114,7.10585300516749,1.27602621728557e-12,8.32110874361e-10,8.32110874361e-10,"HMGA2/BLM/DPF2/SMC6/ERCC6L2/MORF4L1/INO80/TOP3A/SKP2/EME1/GINS4/NABP2/SMARCD3/PPP5C/ABL1/DYRK1A/PPP4C/POLM/NSMCE2/EP400/PRMT1/RAD52/EPC2/SMARCD2/OGG1/PHF10/INIP/WAS/PRDM9/ZSWIM7/TEX15/TENT4A/RPA2/HTATSF1/PARP3/DEK/XRCC5/MGMT/RFWD3/POLN/ING3/KLHL15/BRME1/MAD2L2/HMGB2/WRAP53/MEAF6/PARPBP/BRIP1/HELQ/HELLS/RNF138/RNF126/PNKP/KMT5A/CIB1/RECQL4/RNF169/POLB/ZMYND8/SFPQ/MEIOB/SETX/AUNIP/MUS81/HUS1/BRCA1/SMCHD1/CSNK2A1/TDP2/MCM9/VCP/MCM6/KDM1A/AP5S1/TNKS1BP1/C14orf39/SLF2/OOEP/FEN1/HDGFL2/PLK1/BCL7A/MCM5/ERCC8/SFR1/ACTL6A/HSF2BP/EYA1/POGZ/TOP2B/DMAP1/VPS72/MRGBP/RADX/ATM/RUVBL1/NUCKS1/UHRF1/TOPBP1/RAD21/PRKDC/TIMELESS/MCM4/TRRAP/PALB2/TDP1/CHD4/BCL7B/SMARCC1/ACTR2/PARP2/POLA1/HMCES/SPIDR/CHEK1/RAD54L/UBE2N/ARID2/FUS/PAXX/SHLD1/XRCC6/SPIRE1/ZFYVE26/HELB/XRCC2/NSMCE1/WRN/IFFO1/KAT5/SMARCA4/KMT5B/MRE11/KDM2A/GEN1/CSNK2A2/YY1/APLF/ERCC6/NIPBL/NSMCE4A/ZCWPW1/TP53BP1/EPC1/HSF1/KMT5C/SMARCE1/RAD51B/PIAS4/RAD51D/SHLD3/RNF168/YEATS4/FH/DNA2/RMI1/RAD51AP1/DDX1/ASTE1/NSD2/PPP4R3B/PARP9/ATR/DNTT/LMNA/NHEJ1/REV3L/RIF1/LIG4/RNF8/BRD9/SPIRE2/MRNIP/CHEK2/RUVBL2/MCMDC2/OTUB1/MCM3/ATP23/UIMC1/SIRT1/TONSL/PARP1/CREBBP/RAD51C/PPP4R3A/EYA3/HMGB1/ACTL6B/ERCC5/C1QBP/SMARCD1/ARID1A/FANCM/CDCA5/SETD2/AP5Z1",198
"GO:0006520","amino acid metabolic process","172/7991","271/18842",0.634686346863469,1.49652861313997,7.06527286442352,1.71640298655355e-12,1.00735691280828e-09,1.00735691280828e-09,"ACAT1/ALDH6A1/RARS1/SARS1/TPH2/BCAT2/OAT/BPHL/RIMKLB/ACMSD/PHGDH/AMT/DOHH/GAD1/GCLM/NARS2/UPB1/MTHFR/GLDC/ENOSF1/AASS/RIDA/CTH/HIBADH/MTR/GPT2/KMO/GSTZ1/CARS2/SERINC5/ADI1/APIP/ENOPH1/LRRC47/YARS2/PCBD1/GLUL/ALDH7A1/OTC/DLST/ART4/GLS/GCLC/PCCB/SHMT2/AFMID/PAH/SLC39A8/ASL/QDPR/MRI1/BHMT2/MARS1/TARS1/EPRS1/FARSA/PEPD/NAT8L/ASNS/CSAD/CPS1/HGD/ASS1/DLD/GCDH/ACCS/ADSS2/IARS1/SHMT1/AGMAT/ARG2/TAT/TARS3/ARG1/GSS/ETFB/SEPHS2/PSPH/QARS1/QPRT/CTNS/MMUT/MPST/AGXT2/DALRD3/FAH/ATP2B4/ASRGL1/BLOC1S6/AARS2/GGT1/ALDH1A1/MSRA/FOLH1/DARS2/PCCA/MTHFD2L/GOT2/CLN3/ETFA/KYNU/SEPHS1/HDC/TARS2/PARK7/AGXT/ALDH5A1/HIBCH/KARS1/PPM1K/CARNMT1/NR1H4/NOS3/SERINC3/SLC38A1/HAAO/BCAT1/GLUD1/PYCR2/DPYD/SARS2/HMGCL/ALDH18A1/FOLH1B/AUH/ALDH4A1/HNMT/MTRR/BLMH/FH/ABAT/GATC/NADSYN1/ACADSB/SDSL/SARDH/GCSH/GPT/AARSD1/NAGS/SEPSECS/OAZ2/ACAD8/KYAT1/OAZ1/AZIN1/HOGA1/ODC1/DDC/MAT1A/CAD/PIPOX/PSAT1/IARS2/MCCC1/PYCR1/MTAP/ATF4/SLC25A44/NARS1/LARS1/GCAT/WARS1/DBT/HARS2/LARS2/PTS/NOX4/EGLN2/HPD/SMS/SRR",172
