"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051052","regulation of DNA metabolic process","323/9182","481/18842",0.671517671517671,1.37799346185319,8.18730023459204,1.12966058825444e-16,6.64240425893609e-13,6.64240425893609e-13,"HMGA2/SMG6/OBI1/CDT1/YLPM1/ZSCAN4/BLM/GLI1/CDK2/DPF2/SMC6/MORF4L1/INO80/SKP2/NAF1/PRKCD/H1-4/SETMAR/CDKN1A/SMARCD3/DBF4/ABL1/HNRNPA2B1/DYRK1A/PPP4C/ORC3/SETD2/ATF1/CCT3/ACVRL1/ID3/PIF1/KDM1A/ENDOG/NOX4/KCTD13/C1QBP/HMGB1/CHRAC1/ENY2/EYA3/ATAD5/POLG2/PARP1/INO80C/RFC2/YY1/UIMC1/SMARCAD1/DFFA/MCM3/OTUB1/RUVBL2/EYA1/AURKB/ANKRD31/MBTD1/TIGAR/VPS72/UBE2V1/E2F7/FBXO5/MORF4L2/SUPT20H/RFC5/TERF1/DTL/PMS2/KPNA2/WAPL/ELOB/BARD1/PRDM9/ATRX/ARID2/RPA2/ATXN7/USP22/PARP3/PARG/DEK/EYA4/CGAS/TADA2B/MAPK1/RFC4/SUPT3H/DHX36/UCHL5/MGMT/H1-0/FBXO4/MAD2L2/TNFAIP1/GNL3/NUGGC/BAX/BABAM2/SF3B5/HDAC10/HNRNPA1/WRAP53/POLH/AKT1/LRR1/TNKS/CHEK1/METTL4/ING3/CUL2/HNRNPD/TIPIN/MEAF6/ANKRD17/E2F8/TINF2/MSH2/DPF3/PTK6/ATM/ING5/SMARCD2/KMT5A/CCT2/OOEP/HNRNPC/NFRKB/CDKN1B/MAPK3/SIRT1/FGF2/WIZ/TENT4B/NEK7/GNL3L/SH2B1/MCM5/INO80E/SLFN11/PNKP/TIMELESS/ESCO2/KLHL15/PLK1/CDK1/H1-1/AUNIP/BRCA1/HNRNPU/TNFSF4/HELQ/RIF1/BCL6/BAZ1A/TAF5L/JADE3/SMCHD1/CSNK2A1/RUVBL1/KMT5B/CCDC117/MRGBP/TEN1/RIOX1/WEE1/RNF169/ACTL6B/CIDEA/HMCES/SMARCC1/ACTR2/CDC6/DYNLL1/CUL4A/CLCF1/CBX8/PDS5A/DHX9/INO80D/UPF1/ATXN7L3/TERF2/SLF2/H1-3/CEBPG/RNF126/HDAC8/FAM168A/TICRR/CCT7/XRCC1/ACTL6A/NABP2/ZBTB38/ORC5/TOP2B/DMAP1/CAMSAP3/CDC25A/RADX/NUCKS1/ELOC/TCP1/UBE2N/FGFR4/DSCC1/TDP1/AXIN2/RAD52/RAD51/BKGD/SMARCA4/BCL7B/SMG1/PARPBP/TADA1/OGG1/SGF29/POLB/TRRAP/DKC1/MARCHF6-DT/VEGFA/ENPP7/CTC1/WAS/ERCC8/APLF/JADE2/PRKDC/SUPT6H/PRMT1/EP300/EP400/CREBBP/SMG5/TAF10/XRCC5/USP7/NPAS2/MCRS1/DFFB/GMNN/RPS3/DBF4B/MCM4/EPC2/MCM6/CTNNB1/CUL4B/DUSP1/S100A11/PHF10/LMNA/BCL7A/TEX15/HDGFL2/HGF/TFRC/CCNA2/SMC3/KPNA1/SMC5/PRKCG/FUS/SHLD1/MSH6/SHLD2/HELB/PTGES3/NSMCE1/WRN/SPIRE2/KMT5C/JADE1/CCT8/KLF4/SUB1/KAT5/MRE11/USP37/PCNA/PPP4R3A/MAP2K7/ERCC6/SETD7/PDGFRB/NSMCE4A/ZCWPW1/TP53BP1/SRC/ERCC2/EPC1/HSF1/SMARCE1/GMNC/NEK2/PIAS4/SHLD3/RNF168/YEATS4/FH/KAT7/ACD/STN1/MRNIP/TAF6L/DNA2/DACH1/RNF8/RFC3/HCRT/SMARCD1/TGFB1/BCL7C/RAD51AP1/MYC/PPP4R3B/ESCO1/ATR/DDB1/XRN1/TAF5",323
"GO:0048193","Golgi vesicle transport","224/9182","319/18842",0.702194357366771,1.44094381196958,7.74381530505012,3.65351757432905e-15,1.07413416685274e-11,1.07413416685274e-11,"YIF1A/KRT18/YKT6/TRAPPC6B/CREB3L2/AP3S1/KLHL12/AMN/SEC22B/GOPC/RER1/COPB1/TRAPPC3/AP2A1/RAB6A/SAR1B/ATP2C1/RP2/LMAN2L/CRYZL2P-SEC16B/CEP19/SCAP/AP1G2/COMMD1/GCC2/TM9SF4/GOLT1A/CUX1/TRAPPC2/ATP9A/MPPE1/TRAPPC5/SORL1/SEC31B/RABGGTB/VPS35L/ARF3/RNF139/USE1/VAMP4/SNX3/ARFRP1/BET1L/RAB34/KDELR1/TMED10/GOLGA7/CCDC93/GLTP/LLGL2/KDELR3/ALDH7A1/OSBPL5/SEC23A/PLPP3/GOLGA5/ATP9B/MIA3/SEC31A/CNIH4/ZW10/KIF13A/PKDCC/PDCD6/AP1G1/HTT/ARF4/GOLPH3/CIDEB/ARFGEF2/SEC16A/PRKD1/KIF16B/VAPB/ANXA13/PGAP1/YIF1B/TRAPPC6A/EXOC4/COG5/RAB8A/STX10/MYO5A/RAB33B/CSK/SEC24D/CNST/STX18/AP1AR/COG2/USO1/GGA3/VAPA/NRBP1/LAMP1/SGSM2/KLHL20/TRAPPC2L/RINT1/SEC24C/TRAPPC8/ARCN1/MIA2/VCP/CTAGE1/VTI1A/MON2/AP3M2/AP2M1/TMED3/TMED4/RAB43/VAMP5/TRAPPC12/BCAP29/COPG2/PITPNB/RAB14/NAPG/TFG/ERGIC2/VTI1B/BNIP1/TRIP11/SCAMP2/TBC1D20/GABARAPL2/RABEP1/KDELR2/SYS1/RAB13/COPZ2/COG3/SPAST/RAB31/CYTH3/PPP6C/GGA1/ERGIC3/GAS1/TMED6/GOSR2/MYO18A/ARF5/KIF1C/PREB/YIPF6/TBC1D14/SEC24A/RAB26/BET1/SEC22C/DOP1A/SCAMP1/SEC13/DNM2/RABIF/EXOC1/LMAN2/AP3S2/ARFGAP3/AP3D1/EPS15/CCDC22/LLGL1/RUFY1/COPG1/SEC22A/SEC23B/TRAPPC10/ARFGAP2/ERGIC1/AP1M2/SNX12/STXBP5/LYPLA1/LMAN1/GBF1/GGA2/CLN3/GOLGA4/GAK/VPS41/SNX8/BBS1/SURF4/SPIRE2/TMED9/SNX1/CCDC91/SAR1A/BBS2/SCFD1/COPZ1/RAB2A/GOLT1B/CSNK1D/EXOC5/SEC23IP/COG1/IER3IP1/PRKCI/RAB1B/YIPF4/RAB11A/MYO1B/STEEP1/HYOU1/BICD2/ARL8B/CUL3/SNAP23/RAB10/RAB3IP/COPE/GOLPH3L/DOP1B/VPS13A/AP1M1/COG6/SCYL1/STEAP2/BCAP31/PHAF1",224
"GO:0010506","regulation of autophagy","238/9182","358/18842",0.664804469273743,1.36421757896492,6.78322920936052,6.02649250775178e-12,1.18119253151935e-08,1.18119253151935e-08,"SUPT5H/ATP6V0D2/CAMKK2/DEPDC5/TPCN1/BNIP3L/SEC22B/RAB3GAP2/NRBP2/UBR4/PAFAH1B2/ROCK1/EIF2AK1/MTOR/ZC3H12A/ABL1/ATG16L1/SIRT2/KIF25/DEPTOR/SETD2/PIM2/PARL/FBXL2/ENDOG/TMEM59/SNX5/HMGB1/PRKAA1/NEDD4/TFEB/TRIM23/MTDH/USP20/TRIB3/CDK5/ATP6V1C1/PIK3CA/RRAGD/RNF31/FOXO1/VHL/RAB3GAP1/TICAM1/TPT1/LAMP3/NOD1/KEAP1/PSAP/SCOC/CUL1/RUBCN/FBXL4/EEF1A1/RAB37/ABL2/RALB/SNX6/HTT/CLEC16A/DCAF12/MET/PIK3C3/ATP6V0A2/RNF152/PRKD1/PINK1/EXOC7/AKT1/FOXK2/SMCR8/EXOC4/TOM1/PIK3C2A/DRAM2/CISD1/RAB8A/UCHL1/MAP2K1/ATM/STAT3/VPS26A/KLHL22/ATP6V1C2/GATA4/ATF6/FBXO7/BAG3/FZD5/SNX30/SIRT1/HSPB1/STK38L/TPCN2/ELAPOR1/USP33/ORMDL3/ATP6V0E1/GPR137/VPS35/PARK7/CRYBA1/PIK3R4/MTCL1/CSNK2A1/ATP5IF1/MLST8/ULK3/DNM1L/TAB3/SESN2/SNRNP70/PLK2/RHEB/SPTLC1/TMEM39A/ATG2A/KAT8/SH3GLB1/ULK1/CDK5RAP3/TOMM7/USP13/CUL4A/USP36/ATG14/TBK1/PPTC7/SVIP/PHF23/HPSE/RAB39B/SPTLC2/BMF/DRAM1/QSOX1/UBQLN2/ATG101/TRIM65/MTMR9/WDR6/TBC1D14/LEP/WDR41/ATP6V1H/TBC1D25/ADCY10/ZKSCAN3/GSK3B/HDAC6/DAPK1/DEPP1/ATP6V1E2/RRAGB/STING1/FOXK1/ATP6V1A/SLC25A4/ATP6V1G1/MAP3K7/KDM4A/NUPR1/CERS1/USP10/CDK16/EXOC1/ATP6V1B1/BNIP3/CDC37/MTM1/GPR137B/FLCN/NPRL3/EP300/GSK3A/HUWE1/XBP1/CUL4B/WAC/LYPLA1/ATP6V0D1/WNK1/CISD2/HGF/PIK3CB/C9orf72/PIK3R2/CLN3/CSNK2A2/SREBF2/ELAVL1/RMC1/BCL2L1/RRAGC/ACER2/ATG5/IKBKG/UBE2A/SREBF1/USP30/FEZ2/ATP6V1B2/KAT5/STK11/SCFD1/FOXO3/SLC7A5/ATP6V0A1/CAPN1/FBXW7/MTCL2/TRIM13/EIF4G1/SNX32/RRAGA/MAPK8/HSPB8/RPGR/PIP4K2C/SNX7/WDR45/IRGQ/CALCOCO2/HAX1/HTRA2/PLK3/BOK/GNAI3/CDK5R1/TRIM8/TAB2/SNX4/DDB1/DELE1/DAPK2/LEPR/FKBP8/SNCA",238
"GO:0006260","DNA replication","211/9182","313/18842",0.674121405750799,1.38333647649276,6.66742870623658,1.31572829592929e-11,1.93412059501605e-08,1.93412059501605e-08,"GINS1/NT5M/OBI1/CDT1/BLM/GLI1/CDK2/RBMS1/INO80/MGME1/SETMAR/CDKN1A/GINS4/PTMS/CDC34/DBF4/ORC3/POLE2/ATF1/ACVRL1/ID3/EME1/FANCM/ENDOG/KCTD13/RPA4/CHRAC1/RNASEH2A/ATAD5/RAD51C/NFIB/NOC3L/POLG2/PARP1/CENPX/ORC2/INO80C/RFC2/YY1/MCM3/TOP1/EXO1/RUVBL2/NFIX/AKTIP/UBE2V1/WDR33/ORC1/E2F7/FBXO5/RFC5/TERF1/DTL/REV3L/RFC1/WAPL/ELOB/BARD1/BRCA2/ATRX/RPA2/RFC4/RFWD3/POLN/POLE/UCHL5/MAD2L2/TNFAIP1/NUGGC/FAAP20/CINP/DTD1/POLH/PRIM2/LRR1/CHEK1/METTL4/CUL2/MCM10/MUS81/TIPIN/MEAF6/ANKRD17/SHMT1/E2F8/MSH2/RNASEH1/PTK6/ING5/OOEP/NFRKB/CDKN1B/WIZ/MCM5/INO80E/SET/VCP/SLFN11/PNKP/TIMELESS/ESCO2/CDK1/BRCA1/POLD4/BCL6/BAZ1A/JADE3/RUVBL1/MCM9/AFG2A/CDK2AP1/POLD1/WEE1/CARM1/RAD18/DUT/CDC6/DYNLL1/CUL4A/PDS5A/DHX9/INO80D/UPF1/TERF2/POLD3/RRM1/ZRANB3/KIN/TICRR/ACTL6A/ZBTB38/ORC5/RECQL4/SPRTN/POLK/CAMSAP3/CDC25A/NUCKS1/ELOC/TOPBP1/UBE2N/ASCC3/DSCC1/GRWD1/RAD51/NAP1L1/DONSON/NFIC/USP10/CHAF1A/POLB/WDHD1/ENPP7/CTC1/ASF1A/LRWD1/JADE2/DHFR/WDR18/FEN1/ORC4/MCRS1/GMNN/TBRG1/TONSL/TOP1MT/POLD2/DBF4B/MCM4/MCM6/CUL4B/ORC6/POLA1/RRM2B/S100A11/STRA8/MCMBP/AIRIM/CCNA2/SMC3/UBE2A/HELB/WRN/JADE1/NASP/MRE11/USP37/ZBTB1/GEN1/PCNA/GINS3/REV1/GMNC/KAT7/STN1/DNA2/DACH1/RFC3/HCRT/PHIP/PRIM1/RMI1/RPA1/FAM111A/HLTF/ESCO1/ATR/SDE2/POLI/DDB1/ZPR1",211
"GO:0016054","organic acid catabolic process","169/9182","243/18842",0.695473251028807,1.42715170941895,6.53390091296053,3.07480356337992e-11,2.543058931275e-08,2.543058931275e-08,"ACAT1/NAGK/ECH1/ALDH6A1/BCAT2/OAT/ABCD3/ACMSD/DPEP1/LPIN2/AMT/CROT/EHHADH/GAD1/HADH/HSD17B10/PEX2/AMDHD2/ECHDC1/GLUL/SLC25A17/AGXT/HGD/GCDH/NUDT7/GCAT/ABCB11/GOT2/DLAT/MCCC1/PIPOX/MAT1A/ACACB/HOGA1/ETFA/SLC27A2/IRS1/ACAA2/AKR1D1/NOS3/HIBCH/HIBADH/ABHD3/ACAA1/KMO/ACSF3/GSTZ1/TYSND1/ACBD5/SLC16A1/HAL/ALDH7A1/LOC344967/AKR1A1/IDO2/QPRT/LPIN3/SHMT2/AIG1/LDHA/ACOX2/PON3/AMACR/CYP26C1/DLST/ECHDC2/DECR1/ACADVL/HSD17B4/AKT1/ACOXL/SCP2/PON2/DDAH1/ASS1/LONP2/KYNU/CPT1A/SHMT1/TXN2/CYP4F3/CSAD/GLYATL2/MPST/GNPDA1/FAH/ALDH1L2/OTC/ETFB/RIDA/GLDC/AADAT/HADHB/MLYCD/ACADM/CRAT/PLIN5/ETFBKMT/CPT1B/ABCD2/CRYL1/HMGCL/CPT2/ACAD10/ACOT8/SLC25A44/CYP26A1/PCCA/SLC16A3/PLA2G15/CYP4F12/ABAT/SDSL/PPARA/ABHD2/PPARD/ACOX1/ARG1/IRS2/AGXT2/ADTRP/ATP2B4/ASRGL1/LEP/ACAD8/ALDH4A1/HAO1/ABCD1/AASS/ALDH5A1/LPIN1/DLD/PON1/SORD/TST/HDC/KYAT1/XYLB/NUDT8/MFSD2A/AFMID/ACAD11/PPM1K/MTHFS/HACL2/PHYH/BCAT1/ACOX3/ECI1/HPD/GLUD1/PCCB/ACADL/AUH/FMO1/HNMT/MTRR/BLMH/CAD/DBT/ACADSB/MCEE/GCSH/ECI2/AMDHD1/SARDH/GPT/DDO/SULT2A1",169
"GO:0046395","carboxylic acid catabolic process","169/9182","243/18842",0.695473251028807,1.42715170941895,6.53390091296053,3.07480356337992e-11,2.543058931275e-08,2.543058931275e-08,"ACAT1/NAGK/ECH1/ALDH6A1/BCAT2/OAT/ABCD3/ACMSD/DPEP1/LPIN2/AMT/CROT/EHHADH/GAD1/HADH/HSD17B10/PEX2/AMDHD2/ECHDC1/GLUL/SLC25A17/AGXT/HGD/GCDH/NUDT7/GCAT/ABCB11/GOT2/DLAT/MCCC1/PIPOX/MAT1A/ACACB/HOGA1/ETFA/SLC27A2/IRS1/ACAA2/AKR1D1/NOS3/HIBCH/HIBADH/ABHD3/ACAA1/KMO/ACSF3/GSTZ1/TYSND1/ACBD5/SLC16A1/HAL/ALDH7A1/LOC344967/AKR1A1/IDO2/QPRT/LPIN3/SHMT2/AIG1/LDHA/ACOX2/PON3/AMACR/CYP26C1/DLST/ECHDC2/DECR1/ACADVL/HSD17B4/AKT1/ACOXL/SCP2/PON2/DDAH1/ASS1/LONP2/KYNU/CPT1A/SHMT1/TXN2/CYP4F3/CSAD/GLYATL2/MPST/GNPDA1/FAH/ALDH1L2/OTC/ETFB/RIDA/GLDC/AADAT/HADHB/MLYCD/ACADM/CRAT/PLIN5/ETFBKMT/CPT1B/ABCD2/CRYL1/HMGCL/CPT2/ACAD10/ACOT8/SLC25A44/CYP26A1/PCCA/SLC16A3/PLA2G15/CYP4F12/ABAT/SDSL/PPARA/ABHD2/PPARD/ACOX1/ARG1/IRS2/AGXT2/ADTRP/ATP2B4/ASRGL1/LEP/ACAD8/ALDH4A1/HAO1/ABCD1/AASS/ALDH5A1/LPIN1/DLD/PON1/SORD/TST/HDC/KYAT1/XYLB/NUDT8/MFSD2A/AFMID/ACAD11/PPM1K/MTHFS/HACL2/PHYH/BCAT1/ACOX3/ECI1/HPD/GLUD1/PCCB/ACADL/AUH/FMO1/HNMT/MTRR/BLMH/CAD/DBT/ACADSB/MCEE/GCSH/ECI2/AMDHD1/SARDH/GPT/DDO/SULT2A1",169
"GO:0007059","chromosome segregation","271/9182","420/18842",0.645238095238095,1.32406623725509,6.54820245867611,3.19082079057591e-11,2.543058931275e-08,2.543058931275e-08,"FIRRM/CDT1/MAPRE3/DPF2/SMC6/PPP2R1A/CEP85/INO80/H3-3B/ECT2/TOP3A/TEX12/TUBGCP2/CENPU/CHMP2B/SMARCD3/CENPN/CDCA2/MAP10/CENPW/SIRT2/KIF25/CHMP1B/CCSAP/GEM/CENPI/CLASP2/MEIOB/VPS4B/CPAP/HORMAD2/LZTS2/CCDC61/PRICKLE1/CENPX/MMS19/SMARCAD1/TUBG2/PUM1/TOP1/NCAPG2/BUB3/CHEK2/P3H4/AURKB/DYNC1I2/SYCE2/ANKRD31/DSN1/H3-5/PPP1R7/RB1/NUDC/ANAPC15/FBXO5/GTF2B/PIBF1/DYNLT1/WAPL/PPP2R1B/PRDM9/KIF22/SKA2/ARID2/TENT4A/SUN1/KIF2A/RCC2/RGS14/PPP1CC/NCAPG/NDEL1/ESPL1/DYNLL2/ZW10/TEX14/MAD2L2/ANKRD53/MAPRE1/CDC42/SASS6/MISP/AKAP8L/NCAPD3/TACC3/SYCE3/SPC24/MAP1S/MAU2/TNKS/KLHDC8B/CENPE/C14orf39/MZT1/PTEN/NEK6/MND1/NAA60/ANAPC2/ANAPC5/PSRC1/DRG1/RACGAP1/CDC27/NCAPH/DPF3/KIF2B/RAB24/ATM/TUBGCP3/KLHL22/SMARCD2/KMT5A/TLK1/KIF15/HAUS4/MKI67/SETDB2/CCDC86/SIRT1/NEK7/CHMP7/PMF1/DIS3L2/PLK1/MAPRE2/CDK1/BRCA1/HNRNPU/TTK/TPX2/SEH1L/TUBB8/TRAPPC12/DYNLRB1/HECW2/MTCL1/CSNK2A1/CDC23/NDC80/VPS4A/PTTG2/CHAMP1/ABRAXAS2/EML4/ACTL6B/RAD18/HJURP/ITGB3BP/TOP2A/SMARCC1/HAUS1/SACK1D/CDC6/SGO2/CIAO2B/DYNLL1/CCNB1/KNSTRN/CTCF/AAAS/DCAF13/NSL1/MAD1L1/ACTL6A/WRAP73/TOP2B/RIOK3/STARD9/PSMC3IP/SHOC1/H3-3A/PHF13/NAT9/BOD1/TERB2/CCDC69/KIF2C/NUF2/MAP3K20/SMARCA4/EML3/DYNC1LI1/BCL7B/STAG1/DYNC1H1/NUSAP1/PUM2/RAN/SPICE1/CHMP6/SPATA22/CCNB1IP1/UHRF1/NUP43/NCOR1/SYCP2/CEP97/HAUS6/STIL/RPS3/CEP63/CENPT/ARL8A/DUSP1/PHF10/KIF11/BCL7A/TEX15/RNF212/CEP192/CSNK2A2/BEX4/SMC3/SMC5/RCC1/TUBGCP6/SYCE1L/APC/KATNB1/HAUS7/LSM14A/LCMT1/STAG2/KAT5/PPP2R2D/CENPO/GEN1/CENPC/CSNK1D/RHOA/TTL/GPSM2/DYNLT3/RAB11A/NR3C1/NCAPH2/CDK5RAP2/NIPBL/ANAPC4/ANAPC1/CENPH/MTCL2/CENPP/CHFR/ZCWPW1/ARL8B/AKAP8/BIRC5/ERCC2/CENPA/RIOK2/SMARCE1/CUL3/NEK2/RMDN1/KIF14/KIF18B/SAC3D1/RIPOR2/BAZ1B/MEI4/KIF4A/SMARCD1/KIF3B/BCL7C/BUB1B/SRPK1/DDB1/SENP6/ZWINT",271
"GO:0051054","positive regulation of DNA metabolic process","183/9182","267/18842",0.685393258426966,1.40646697617958,6.52151566671118,3.45994412418367e-11,2.543058931275e-08,2.543058931275e-08,"CDT1/GLI1/CDK2/DPF2/MORF4L1/INO80/SKP2/NAF1/PRKCD/SETMAR/CDKN1A/SMARCD3/DBF4/HNRNPA2B1/DYRK1A/ATF1/CCT3/ENDOG/NOX4/KCTD13/HMGB1/EYA3/ATAD5/POLG2/PARP1/INO80C/RFC2/YY1/UIMC1/RUVBL2/EYA1/AURKB/ANKRD31/MBTD1/TIGAR/VPS72/E2F7/MORF4L2/RFC5/TERF1/PMS2/PRDM9/ATRX/ARID2/PARP3/EYA4/MAPK1/RFC4/DHX36/UCHL5/MGMT/FBXO4/MAD2L2/TNFAIP1/GNL3/BAX/BABAM2/HDAC10/HNRNPA1/WRAP53/AKT1/TNKS/ING3/HNRNPD/MEAF6/E2F8/TINF2/MSH2/DPF3/PTK6/ATM/SMARCD2/CCT2/OOEP/NFRKB/CDKN1B/MAPK3/SIRT1/FGF2/WIZ/NEK7/PNKP/TIMELESS/CDK1/BRCA1/TNFSF4/HELQ/RIF1/BAZ1A/SMCHD1/RUVBL1/KMT5B/CCDC117/MRGBP/WEE1/ACTL6B/HMCES/SMARCC1/ACTR2/CLCF1/CBX8/DHX9/INO80D/TERF2/SLF2/CEBPG/RNF126/FAM168A/CCT7/ACTL6A/NABP2/TOP2B/DMAP1/CDC25A/TCP1/UBE2N/FGFR4/DSCC1/SMARCA4/BCL7B/TRRAP/DKC1/MARCHF6-DT/VEGFA/CTC1/WAS/ERCC8/PRKDC/PRMT1/EP400/CREBBP/NPAS2/MCRS1/RPS3/DBF4B/EPC2/CTNNB1/PHF10/BCL7A/HDGFL2/HGF/TFRC/CCNA2/PRKCG/FUS/SHLD1/SHLD2/PTGES3/WRN/SPIRE2/KMT5C/CCT8/KLF4/KAT5/MRE11/PCNA/MAP2K7/ERCC6/PDGFRB/ZCWPW1/TP53BP1/ERCC2/EPC1/SMARCE1/NEK2/PIAS4/SHLD3/RNF168/YEATS4/FH/KAT7/ACD/STN1/MRNIP/DNA2/RNF8/RFC3/SMARCD1/TGFB1/BCL7C/RAD51AP1/MYC/ATR",183
"GO:0016236","macroautophagy","241/9182","369/18842",0.653116531165312,1.34023324768207,6.43506998518592,6.7202686157632e-11,4.39057549563196e-08,4.39057549563196e-08,"SUPT5H/ATP6V0D2/ABI2/BNIP3L/SEC22B/RAB3GAP2/NRBP2/PAFAH1B2/VPS37B/VPS33A/EIF2AK1/CHMP2B/MTOR/ATG16L1/SNAP29/PEX2/CHMP1B/IFT88/PARL/VPS4B/UFC1/UBXN2A/SNX5/EIF2S1/NEDD4/NBR1/WIPI2/MFN2/NIPSNAP1/VPS37D/ARFIP2/EI24/CDK5/ATP6V1C1/MTMR14/CHEK2/SNAP47/PIK3CA/PJVK/DNAJC16/RNF31/ATG4A/RAB3GAP1/STBD1/ACBD5/ATG2B/SCOC/VPS37C/CUL1/RUBCN/FBXL4/VPS36/TBC1D12/OGT/RALB/SNX6/TP53INP2/TMEM74/RUBCNL/TSG101/NSFL1C/HTT/NIPSNAP2/HDAC10/VAMP8/CLEC16A/VPS28/PIK3C3/ATP6V0A2/PINK1/STX4/UBA5/EXOC7/VPS18/AKT1/SMCR8/EXOC4/TOM1/FUNDC1/ATP2A2/UCHL1/RAB33B/ZFYVE1/ATM/VPS26A/ATP6V1C2/FBXO7/BAG3/RIMOC1/FZD5/SNX30/SIRT1/ATG7/VCP/VTI1A/CHMP7/ELAPOR1/USP33/ATP6V0E1/RAB43/VPS35/PDCD6IP/PIK3R4/SMURF1/CSNK2A1/ATP5IF1/VPS4A/GABARAPL1/ULK3/DNM1L/VTI1B/GAA/SESN2/RAB2B/TMEM41B/RHEB/SPTLC1/GABARAPL2/TMEM39A/ATG2A/ARHGAP26/EPG5/SH3GLB1/ULK1/CDK5RAP3/TOMM7/CALM1/LAMP2/USP36/ATG14/TBK1/SEC62/PPTC7/PHB2/PHF23/SPTLC2/WDR81/QSOX1/RETREG1/VPS25/UBQLN2/ATG101/TBC1D14/ATP6V1H/SNF8/TBC1D25/ADCY10/MFSD8/MVB12A/HDAC6/ATP6V1E2/STING1/ATP6V1A/SLC25A4/ATP6V1G1/MAP3K7/NUPR1/CERS1/RAB7A/EXOC1/ATP6V1B1/BNIP3/CDC37/MTM1/ATG10/MAP1LC3B/CHMP6/ATG9B/ATG4C/YOD1/VTA1/GSK3A/RTN3/HUWE1/STX12/ATG3/STAM/WAC/SNX14/LYPLA1/ATP6V0D1/NIPSNAP3B/C9orf72/LGALS8/MTMR3/CLN3/CSNK2A2/SREBF2/ELAVL1/LIX1L/VPS41/ATG5/IKBKG/PIKFYVE/UBE2A/SREBF1/ZFYVE26/USP30/FEZ2/ATG4D/ATP6V1B2/MAP1LC3A/KAT5/TCIRG1/SCFD1/RAB2A/RAB1B/ATP6V0A1/VPS37A/RETREG3/CAPN1/CCPG1/RAB39A/GABARAP/FBXW7/TRIM13/SRC/ARL8B/UBXN2B/SNX32/MAPK8/HSPB8/PIP4K2C/SNX7/WDR45/ARMC3/IRGQ/CALCOCO2/ZNRF2/HTRA2/VPS16/RAB23/GNAI3/VPS13A/CDK5R1/VPS39/SNX4/DELE1/FKBP8/TIMM23/BECN2",241
"GO:0006310","DNA recombination","223/9182","338/18842",0.659763313609467,1.35387283326395,6.40036614427405,8.35175625696142e-11,4.91083267909331e-08,4.91083267909331e-08,"FIRRM/ZSCAN4/BLM/SMC6/MORF4L1/INO80/SKP2/NONO/CCR6/TOP3A/TEX12/H1-4/GINS4/APEX2/ABL1/HMGB3/PPP4C/POLM/HSPD1/AP5Z1/SETD2/DCAF1/PIF1/EME1/FANCM/KDM1A/ENDOG/MEIOB/C1QBP/ERCC5/RPA4/NABP1/HMGB1/APEX1/RAD51C/PGBD5/PARP1/CENPX/INO80C/YY1/UBR2/SMARCAD1/MCM3/EXO1/XRCC4/RUVBL2/NFKBIZ/SYCE2/ANKRD31/BRD9/MBTD1/VPS72/TOP3B/LIG4/MORF4L2/REV3L/PMS2/KPNA2/PDS5B/PAGR1/BARD1/PRDM9/BRCA2/ARID2/RPA2/PCYT1A/PARP3/CGAS/RFWD3/POLN/UCHL5/H1-0/MAD2L2/HDAC10/HMGB2/MSH4/WRAP53/HTATSF1/SYCE3/CHEK1/C14orf39/ING3/EXOSC3/MND1/MUS81/TEP1/EXOSC6/MEAF6/NCAPH/MSH2/ATM/KMT5A/OOEP/NFRKB/MCM5/INO80E/TIMELESS/KLHL15/HELLS/ZMYND8/PLK1/SETX/H1-1/AUNIP/BRCA1/MCMDC2/TNFSF4/PALB2/HELQ/RIF1/KLHDC3/AP5S1/RAD54B/HROB/SMCHD1/CSNK2A1/CHD4/RUVBL1/KMT5B/MCM9/BATF/MRGBP/RNF169/HMCES/TOP2A/ACTR2/RAD51D/CLCF1/INO80D/TERF2/SLF2/H1-3/RNF138/RNF126/SFPQ/KIN/TCF3/XRCC1/ACTL6A/HSF2BP/NABP2/POGZ/TOP2B/RECQL4/DMAP1/RADX/PSMC3IP/SHOC1/NUCKS1/HUS1/TOPBP1/UBE2N/RAD52/RAD51/RAD54L/PARPBP/INIP/BRME1/TRRAP/WAS/CCNB1IP1/UHRF1/SANBR/PRKDC/SUPT6H/PRMT1/FEN1/SYCP2/EP400/CREBBP/XRCC5/SFR1/MCRS1/TONSL/MCM4/EPC2/MCM6/TEX15/HDGFL2/TFRC/RNF212/KPNA1/SMC5/CNTD1/FUS/NHEJ1/SHLD1/MSH6/SHLD2/ZFYVE26/HELB/XRCC2/NSMCE1/WRN/KMT5C/KAT5/MRE11/GEN1/ERCC6/NIPBL/NSMCE4A/TOP6BL/ZCWPW1/TP53BP1/ERCC2/EPC1/PIAS4/SHLD3/RNF168/HFM1/YEATS4/REC114/MLH3/MRNIP/RNF8/XRCC6/MEI4/TGFB1/RMI1/RPA1/RAD51AP1/ZSWIM7/ASTE1",223
