código;study;sample_acc;experiment_acc;submission_acc;submission_center;submission_lab;study_title;study_abstract;study_description;experiment_title;design_description;sample_description;library_name;library_strategy;library_source;library_selection;library_layout;paired_nominal_length;paired_nominal_stdev;library_construction_protocol;platform_model;sample_attributes;experiment_attributes;spot_length;sample_name;amostra;tratamento;replicada biológica;sample_bases;sample_spots;run_published;size;run_total_bases;run_total_spots;num_reads;num_spots;read_info;run_alias;run_center_name;run_broker_name;run_center
SRR5808264;SRP111173;SRS2339221;SRX2986858;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695253: XP12RO_DMSO_1; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;none|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;inactive";"GEO Accession;;GSM2695253";;GSM2695253;XP12RO;DMSO;1;3475695000;23171300;2017-07-09 11:08:16;2242788144;3475695000;23171300;2;23171300;index:0,count:23171300,average:75,stdev:0|index:1,count:23171300,average:75,stdev:0;GSM2695253_r1;;;
SRR5808265;SRP111173;SRS2339222;SRX2986859;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695254: XP12RO_DMSO_2; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;none|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;inactive";"GEO Accession;;GSM2695254";;GSM2695254;XP12RO;DMSO;2;2701866300;18012442;2017-07-09 11:08:16;1690397045;2701866300;18012442;2;18012442;index:0,count:18012442,average:75,stdev:0|index:1,count:18012442,average:75,stdev:0;GSM2695254_r1;;;
SRR5808266;SRP111173;SRS2339223;SRX2986860;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695255: XP12RO_DMSO_3; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;none|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;inactive";"GEO Accession;;GSM2695255";;GSM2695255;XP12RO;DMSO;3;2886859950;19245733;2017-07-09 11:08:16;1856900255;2886859950;19245733;2;19245733;index:0,count:19245733,average:75,stdev:0|index:1,count:19245733,average:75,stdev:0;GSM2695255_r1;;;
SRR5808267;SRP111173;SRS2339224;SRX2986861;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695256: XP12RO_RA_1; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;10 micromolar, 7 hr|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;inactive";"GEO Accession;;GSM2695256";;GSM2695256;XP12RO;RA;1;3372548100;22483654;2017-07-09 11:08:16;2167468989;3372548100;22483654;2;22483654;index:0,count:22483654,average:75,stdev:0|index:1,count:22483654,average:75,stdev:0;GSM2695256_r1;;;
SRR5808268;SRP111173;SRS2339225;SRX2986862;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695257: XP12RO_RA_2; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;10 micromolar, 7 hr|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;inactive";"GEO Accession;;GSM2695257";;GSM2695257;XP12RO;RA;2;3399304050;22662027;2017-07-09 11:08:16;2188872910;3399304050;22662027;2;22662027;index:0,count:22662027,average:75,stdev:0|index:1,count:22662027,average:75,stdev:0;GSM2695257_r1;;;
SRR5808269;SRP111173;SRS2339226;SRX2986863;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695258: XP12RO_RA_3; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;10 micromolar, 7 hr|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;inactive";"GEO Accession;;GSM2695258";;GSM2695258;XP12RO;RA;3;2336091150;15573941;2017-07-09 11:08:16;1496440606;2336091150;15573941;2;15573941;index:0,count:15573941,average:75,stdev:0|index:1,count:15573941,average:75,stdev:0;GSM2695258_r1;;;
SRR5808270;SRP111173;SRS2339227;SRX2986864;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695259: XPA/XP12RO_DMSO_1; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;none|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;active, complemented with XPA gene";"GEO Accession;;GSM2695259";;GSM2695259;XPA/XP12RO;DMSO;1;2658537600;17723584;2017-07-09 11:08:16;1708311340;2658537600;17723584;2;17723584;index:0,count:17723584,average:75,stdev:0|index:1,count:17723584,average:75,stdev:0;GSM2695259_r1;;;
SRR5808271;SRP111173;SRS2339228;SRX2986865;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695260: XPA/XP12RO_DMSO_2; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;none|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;active, complemented with XPA gene";"GEO Accession;;GSM2695260";;GSM2695260;XPA/XP12RO;DMSO;2;2923063500;19487090;2017-07-09 11:08:16;1887150489;2923063500;19487090;2;19487090;index:0,count:19487090,average:75,stdev:0|index:1,count:19487090,average:75,stdev:0;GSM2695260_r1;;;
SRR5808272;SRP111173;SRS2339229;SRX2986866;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695261: XPA/XP12RO_DMSO_3; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;none|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;active, complemented with XPA gene";"GEO Accession;;GSM2695261";;GSM2695261;XPA/XP12RO;DMSO;3;2413971750;16093145;2017-07-09 11:08:16;1552886607;2413971750;16093145;2;16093145;index:0,count:16093145,average:75,stdev:0|index:1,count:16093145,average:75,stdev:0;GSM2695261_r1;;;
SRR5808273;SRP111173;SRS2339230;SRX2986867;SRA584316;GEO;;Transcriptional Consequences of XPA Disruption in Human Cell Lines;Purpose: Nucleotide excision repair (NER) in mammalian cells requires the xeroderma pigmentosum group A protein (XPA) as a core factor. Remarkably, XPA and other NER proteins have been detected by chromatin immunoprecipitation at some active promoters, and NER deficiency is reported to influence the activated transcription of selected genes. However, the global influence of XPA on transcription in human cells has not been determined. Methods: We analyzed the human transcriptome by RNA sequencing (RNA-Seq). Four genetically matched human cell line pairs deficient or proficient in XPA were analyzed Results: Of the ~14,000 genes transcribed in each cell line, 325 genes (2%) had a significant XPA-dependent directional change in gene expression that was common to all four pairs (with a false discovery rate of 0.05). These genes were enriched in pathways for the maintenance of mitochondria. Only 27 genes were different by more than 1.5-fold. The most significant hits were AKR1C1 and AKR1C2, involved in steroid hormone metabolism. AKR1C2  protein was lower in all of the immortalized XPA-deficient cells. Retinoic acid treatment led to modest XPA-dependent activation of some genes with transcription-related functions. Conclusions: We conclude that XPA status does not globally influence human gene transcription. However, XPA significantly influences expression of a small subset of genes important for mitochondrial functions and steroid hormone metabolism. The results may help explain defects in neurological function and sterility in individuals with xeroderma pigmentosum. Overall design: Eight cell lines were used as follows. For HeLa-derived cells, HeLa S3 (XPA+, two cultures), HeLa KO38 (XPA-), and HeLa KO142 (XPA-), XPA2OS (XPA-). A fibroblast cell pair was XP2OS (XPA-) and an XPA complemented clone XPA/XPA2OS (XPA+). A second fibroblast cell pair was XP12RO (XPA-) and an XPA complemented clone XPA/XPA12RO (XPA+). Each culture was treated with a DMSO control or with retinoic acid in DMSO. Independent cultures and libraries were prepared and analyzed in triplicate, for a total of 48 samples.;;"GSM2695262: XPA/XP12RO_RA_1; Homo sapiens; RNA-Seq";;;;RNA-Seq;TRANSCRIPTOMIC;cDNA;paired;;;HeLa cells were pelleted by centrifugation. The fibroblast cells were harvested with a cell scraper, centrifuged (1500 rpm = 485 x g, for 5 min at 4 ºC) and washed once with PBS. The pellets were quick-frozen and stored at -80 ºC. RNA was extracted from pellets using a QIAGEN RNA isolation kit for a qPCR assay. Libraries were prepared using the Illumina TruSeq stranded mRNA kit according to the manufacturer’s protocol, except that eight PCR amplification cycles were used. ;Illumina HiSeq 2000;"retionoic acid treatment;;10 micromolar, 7 hr|source_name;;skin fibroblasts, SV40-immortalized|xpa function;;active, complemented with XPA gene";"GEO Accession;;GSM2695262";;GSM2695262;XPA/XP12RO;RA;1;3363885750;22425905;2017-07-09 11:08:16;2165744757;3363885750;22425905;2;22425905;index:0,count:22425905,average:75,stdev:0|index:1,count:22425905,average:75,stdev:0;GSM2695262_r1;;;
